😀	grand sourire
🤷🏼‍♀️	femme qui hausse les epaules peau 2
🤷🏽‍♀️	femme qui hausse les epaules peau 3
🤷🏾‍♀️	femme qui hausse les epaules peau 4
🤷🏿‍♀️	femme qui hausse les epaules peau 5
🧑‍⚕️	professionnel de la sante tous genres
🧑🏻‍⚕️	professionnel de la sante tous genres%e2%80%af peau claire
🧑🏼‍⚕️	professionnel de la sante tous genres%e2%80%af peau moyennement claire
🧑🏽‍⚕️	professionnel de la sante tous genres%e2%80%af peau legerement mate
🧑🏾‍⚕️	professionnel de la sante tous genres%e2%80%af peau mate
🧑🏿‍⚕️	professionnel de la sante tous genres%e2%80%af peau foncee
👨‍⚕️	homme profession medicale
👨🏻‍⚕️	homme profession medicale peau 1
👨🏼‍⚕️	homme profession medicale peau 2
👨🏽‍⚕️	homme profession medicale peau 3
👨🏾‍⚕️	homme profession medicale peau 4
👨🏿‍⚕️	homme profession medicale peau 5
👩‍⚕️	femme profession medicale
👩🏻‍⚕️	femme profession medicale peau 1
👩🏼‍⚕️	femme profession medicale peau 2
👩🏽‍⚕️	femme profession medicale peau 3
👩🏾‍⚕️	femme profession medicale peau 4
👩🏿‍⚕️	femme profession medicale peau 5
🧑‍🎓	etudiant tous genres
🧑🏻‍🎓	etudiant tous genres%e2%80%af peau claire
🧑🏼‍🎓	etudiant tous genres%e2%80%af peau moyennement claire
🧑🏽‍🎓	etudiant tous genres%e2%80%af peau legerement mate
🧑🏾‍🎓	etudiant tous genres%e2%80%af peau mate
🧑🏿‍🎓	etudiant tous genres%e2%80%af peau foncee
👨‍🎓	etudiant
👨🏻‍🎓	etudiant peau 1
👨🏼‍🎓	etudiant peau 2
👨🏽‍🎓	etudiant peau 3
👨🏾‍🎓	etudiant peau 4
👨🏿‍🎓	etudiant peau 5
👩‍🎓	etudiante
👩🏻‍🎓	etudiante peau 1
👩🏼‍🎓	etudiante peau 2
👩🏽‍🎓	etudiante peau 3
👩🏾‍🎓	etudiante peau 4
👩🏿‍🎓	etudiante peau 5
🧑‍🏫	personnel enseignant
🧑🏻‍🏫	personnel enseignant%e2%80%af peau claire
🧑🏼‍🏫	personnel enseignant%e2%80%af peau moyennement claire
🧑🏽‍🏫	personnel enseignant%e2%80%af peau legerement mate
🧑🏾‍🏫	personnel enseignant%e2%80%af peau mate
